20160424	1
20160615	1
20160628	2
20160702	1
20160703	4
20160704	2
20160706	3
20160707	3
20160708	484
20160709	634
20160710	533
20160711	331
20160712	223
20160713	150
20160714	128
20160715	96
20160716	83
20160717	113
20160718	95
20160719	55
20160720	52
20160721	30
20160722	23
20160723	28
20160724	23
20160725	9
20160726	14
20160727	15
20160728	11
20160729	15
20160730	10
20160731	17
20160801	7
20160802	15
20160803	6
20160804	9
20160805	1
20160806	3
20160807	4
20160808	2
20160809	1
20160810	4
20160811	2
20160812	2
20160813	4
20160814	2
20160819	1
20160820	2
20160821	2
20160822	1
